Category,Product,US Retail (USD),Current Price (XAF),Suggested Price (XAF),Status
BODY WASH,Dr Teal's Body Wash - Prebiotic Lemon Balm 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Dr Teal's Body Wash - Eucalyptus Spearmint 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Dr Teal's Body Wash - Vanilla Comfort 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Dr Teal's Body Wash - Hawaiian Bliss 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Dr Teal's Body Wash - Soothe & Sleep Lavender 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Dr Teal's Body Wash - Coconut Oil 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Dr Teal's Body Wash - Shea Butter & Almond 24oz,$5.87,5000,8500,Underpriced
BODY WASH,Olay Essential Botanicals - Spiced Chai & Pear,$7.00,3500,10000,WAY UNDERPRICED
BODY WASH,Olay Essential Botanicals - White Tea & Cucumber,$7.00,3500,10000,WAY UNDERPRICED
BODY WASH,Olay Essential Botanicals - Lavender Milk & Sandalwood,$7.00,3500,10000,WAY UNDERPRICED
BODY WASH,Suave Men Hydrating 3-in-1 Body Hair Face Wash 18oz,$2.97,3000,4500,Underpriced
BODY WASH,Suave Moisturizing Body Wash - Cocoa Butter & Shea 18oz,$2.97,3000,4500,Underpriced
BODY WASH,Suave Cocoa Butter + Shea Body Wash 30oz,$4.68,5000,7000,Underpriced
BODY WASH,Suave Moisturizing Body Wash - Sweet Pea & Violet 18oz,$2.97,3000,4500,Underpriced
BODY WASH,Suave Ocean Breeze Body Wash 18oz,$2.97,3000,4500,Underpriced
BODY WASH,Suave Ocean Breeze Body Wash 30oz,$4.68,5000,7000,Underpriced
BODY WASH,Suave Wild Cherry Blossom Body Wash 30oz,$4.68,5000,7000,Underpriced
BODY WASH,Suave Strawberry Delight Body Wash 30oz,$4.68,5000,7000,Underpriced
BODY WASH,Suave Milk & Honey Body Wash 30oz,$4.68,5000,7000,Underpriced
BODY WASH,NIVEA MEN Maximum Hydration 3-in-1 Body Wash,$6.50,3500,9500,WAY UNDERPRICED
BODY WASH,Irish Spring Original Clean Deodorant Bar Soap,$1.00,1300,1500,Acceptable
BODY WASH,St. Ives Body Wash - Pink Lemon & Mandarin Orange 22oz,$4.50,4500,6500,Slight raise
BODY WASH,St. Ives Body Wash - Sea Salt & Pacific Kelp 22oz,$4.50,4500,6500,Slight raise
BODY WASH,St. Ives Body Wash - Oatmeal & Shea Butter 22oz,$4.50,4500,6500,Slight raise
BODY LOTION,Olay Body Lotion - Age Defying with Niacinamide Serum,$10.00,10000,15000,Could go higher
BODY LOTION,Olay Body Lotion - Nourishing with Hyaluronic Acid Serum,$10.00,10000,15000,Could go higher
BODY LOTION,Olay Body Lotion - Smoothing with Retinol Serum,$10.00,10000,15000,Could go higher
BODY LOTION,Olay Body Lotion - Tone Enhancing with AHA Serum,$10.00,10000,15000,Could go higher
BODY LOTION,Aveeno Daily Moisturizing Body Lotion 18oz,$9.00,6000,13500,WAY UNDERPRICED
BODY LOTION,Jergens Hydrating Coconut Body Lotion,$6.00,6500,9000,Slight raise
BODY LOTION,Jergens Shea Butter Hand and Body Lotion,$6.00,6500,9000,Slight raise
BODY LOTION,Jergens Soothing Aloe Body Lotion,$6.00,6500,9000,Slight raise
BODY LOTION,Jergens Skin Firming Body Lotion with Collagen & Elastin,$6.00,6500,9000,Slight raise
BODY LOTION,Jergens Ultra Healing Dry Skin Lotion,$6.00,6500,9000,Slight raise
BODY LOTION,Dr Teal's 24hr Moisture+ Body Lotion - Prebiotic Lemon Balm,$6.00,5000,9000,Underpriced
BODY LOTION,Dr Teal's 24hr Moisture+ Body Lotion - Eucalyptus & Spearmint,$6.00,5000,9000,Underpriced
BODY LOTION,Dr Teal's 24hr Moisture+ Body Lotion - Coconut Oil,$6.00,5000,9000,Underpriced
